Iteration,Inception Score
1000,1.337654596
2000,1.364968362
3000,1.560460451
4000,1.706110521
5000,1.563267443
6000,1.583967199
7000,1.626432297
8000,1.507578869
9000,1.527379551
10000,1.556848377
11000,1.527836535
12000,1.445405319
13000,1.474199805
14000,1.475922933
15000,1.514782826
16000,1.499707484
17000,1.538878537
18000,1.587214997
19000,1.653349295
20000,1.638832226
21000,1.604004704
22000,1.680287077
23000,1.687503683
24000,1.683721576
25000,1.667085851
26000,1.540563708
27000,1.684017059
28000,1.705194493
29000,1.695490043
30000,1.835565359
31000,1.703880824
32000,1.733368462
33000,1.751792763
34000,1.752488822
35000,1.695152277
36000,1.733941894
37000,1.755751261
38000,1.794923413
39000,1.770731638
40000,1.794536018
41000,1.873430391
42000,1.915452168
43000,1.82813239
44000,1.824299472
45000,1.954682321
46000,1.813337665
47000,1.943019922
48000,1.88132188
49000,1.834846149
50000,1.873642097
51000,1.925182813
52000,1.882997001
53000,1.856613101
54000,1.937387719
55000,1.847781639
56000,1.925918349
57000,1.920717867
58000,1.947065566
59000,1.870382745
60000,1.948688973
61000,1.922753433
62000,1.924470667
63000,1.961464666
64000,1.917435702
65000,2.037215297
66000,1.945406246
67000,1.953293137
68000,1.945263557
69000,1.901435735
70000,1.939857436
71000,1.951648928
72000,2.010952992
73000,1.923611487
74000,1.97176279
75000,1.946139523
76000,2.043683355
77000,1.921667943
78000,2.000841016
