Iteration,Inception Score
1000,1.447265038
2000,1.536243993
3000,1.888140627
4000,1.619907816
5000,1.620239115
6000,1.358515362
7000,1.465921463
8000,1.74977432
9000,1.826465132
10000,1.856191993
11000,1.971044266
12000,1.822053238
13000,1.793837508
14000,2.238727151
15000,1.735583735
16000,1.734870798
17000,2.024935795
18000,2.086771261
19000,1.861285515
20000,1.947989439
21000,1.845253932
22000,1.900695685
23000,2.044829209
24000,1.77359722
25000,1.893407234
26000,1.948010077
27000,2.181443346
28000,1.915801472
29000,1.713729756
30000,1.764117348
31000,1.82690889
32000,1.945152616
33000,1.899271027
34000,1.902452393
35000,1.906535504
36000,2.033039937
37000,1.981757729
38000,1.857971237
39000,1.708178179
40000,1.92028215
41000,1.834879298
42000,2.082716477
43000,1.904528768
44000,1.986338882
45000,1.952524808
46000,2.06553379
47000,1.940401129
48000,1.888401462
49000,1.92013402
50000,1.95065377
51000,2.042699899
52000,1.90663835
53000,1.79247396
54000,2.020718933
55000,1.907179864
56000,2.038893183
57000,1.818847517
58000,1.985361943
59000,1.953944921
60000,1.816617224
61000,1.791114447
62000,1.874024962
63000,1.897002707
64000,1.818790928
65000,1.900082031
66000,1.955643656
67000,1.819646244
68000,1.781107317
69000,1.916431456
70000,1.882542405
71000,1.808937239
72000,1.810870601
73000,1.875662961
74000,1.858939709
75000,1.831847649
76000,1.90056037
77000,1.854907033
78000,1.792024634
79000,1.798243808
80000,1.751512958
81000,1.816798491
82000,1.879574805
83000,1.892815944
84000,1.811015334
85000,1.744848484
86000,1.843887847
87000,1.925582411
88000,1.798087158
89000,1.81222885
90000,1.855697081
91000,1.794516347
92000,1.862284343
93000,1.851789809
94000,1.860769445
95000,1.772129238
96000,1.850190868
97000,1.794434254
98000,1.73520909
99000,1.837940512
100000,1.834876638
101000,1.790297739
102000,1.871326867
103000,1.81675712
104000,1.811948854
105000,1.766638685
106000,1.799693259
107000,1.745271702
108000,1.674544933
109000,1.826862924
110000,1.805128217
111000,1.797882708
112000,1.732260352
113000,1.80921548
114000,1.782443523
115000,1.731954287
116000,1.769807808
117000,1.832261682
118000,1.863009636
119000,1.740764484
120000,1.774247402
121000,1.73950949
122000,1.819406317
123000,1.873844842
124000,1.819143667
125000,1.743573423
126000,1.790692037
127000,1.837195599
128000,1.752897372
129000,1.797980976
130000,1.790283479
131000,1.86452886
132000,1.812354005
133000,1.861992262
134000,1.726271222
135000,1.749703345
136000,1.761889256
137000,1.775998318
138000,1.720385308
139000,1.887678983
140000,1.736050895
141000,1.794361101
142000,1.759065831
143000,1.773412873
144000,1.827593173
145000,1.76310363
146000,1.719503259
147000,1.744707133
148000,1.770019434
149000,1.762669153
150000,1.707884287
151000,1.749270293
152000,1.786990434
153000,1.78563413
154000,1.767497903
155000,1.782797417
156000,1.79691903
